audit_date,table_name,live_row_count,domain,primary_app_owner,other_app_consumers,role,authoritative_fields,duplicated_or_derived_fields,authority_status,live_schema_vs_code_status,issue_tags,notes
2026-05-04,admin_audit_log,124,admin,Herman-Admin,,audit_log,"id; actor_admin_user_id; action_type; target_type; target_id; created_at","before_json; after_json; request_id",authoritative,aligned,,Canonical admin audit trail.
2026-05-04,admin_permissions,54,admin,Herman-Admin,,access_control,"admin_user_id; permission_key",,authoritative,aligned,,Canonical permission grants.
2026-05-04,admin_profiles,9,admin,Herman-Admin,herman_portal; auth_users,admin_profile,"admin_user_id","display_name; email",duplicated,aligned,IDENTITY_DUPLICATION,"Profile fields overlap auth_users identity fields."
2026-05-04,admin_scopes,9,admin,Herman-Admin,,access_control,"admin_user_id; scope_type; reseller_partner_id; tenant_id; group_id",,authoritative,aligned,,Canonical scope grants.
2026-05-04,admin_sessions,34,admin,Herman-Admin,herman_portal,session_state,"id; admin_user_id; issued_at; expires_at; revoked_at; mfa_verified_at","user_id_hash; last_seen_at; user_agent; source_ip",authoritative,aligned,,Admin-only session lifecycle.
2026-05-04,admin_users,9,admin,Herman-Admin,herman_portal; herman-prompt,admin_entitlement,"user_id_hash; role; is_active",is_admin overlaps auth_users,shared_but_duplicated,live_drift_detected,ADMIN_AUTH_ORPHANS|ADMIN_FLAG_OVERLAP,"2 live rows do not resolve to auth_users.user_id_hash."
2026-05-04,alembic_version,1,migrations,prompt_transformer,,migration_metadata,version_num,,authoritative,aligned,MULTI_MIGRATION_GOVERNANCE,"Prompt Transformer uses the default Alembic stream."
2026-05-04,alembic_version_herman_portal,1,migrations,herman_portal,,migration_metadata,version_num,,authoritative,aligned,MULTI_MIGRATION_GOVERNANCE,"Portal uses a separate Alembic version table."
2026-05-04,auth_mfa_challenges,34,auth,herman_portal,Herman-Admin,auth_mfa,"id; user_id_hash; challenge_type; requested_app; code_hash; expires_at; consumed_at; attempt_count; created_at",,authoritative,aligned,,Canonical MFA challenge store.
2026-05-04,auth_sessions,111,auth,herman_portal,Herman-Admin,portal_session,"session_token_hash; user_id_hash; expires_at; revoked_at; admin_mfa_verified_at","created_at; last_seen_at",authoritative,aligned,,Canonical portal session store.
2026-05-04,auth_user_credentials,14,auth,herman_portal,Herman-Admin,credential_store,"user_id_hash; password_hash; password_algorithm; password_set_at; failed_login_attempts; locked_until","last_login_at",authoritative,aligned,LAST_LOGIN_DUPLICATION,"Canonical password store; last_login_at also appears on auth_users."
2026-05-04,auth_users,14,auth,shared,Herman-Admin; herman_portal; herman-prompt; prompt_transformer,principal_identity,"email; user_id_hash; is_active; last_login_at","tenant_id overlaps membership model; is_admin overlaps admin_users; display_name overlaps profile tables",shared_but_duplicated,aligned,USER_TENANT_AUTHORITY|ADMIN_FLAG_OVERLAP|IDENTITY_DUPLICATION,"Primary shared identity table across apps."
2026-05-04,behaviorial_adj,9,profile,prompt_transformer,Herman-Admin,profile_layer,"user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version","same schema as other profile-layer tables",overlay_layer,aligned,PROFILE_LAYER_DUPLICATION,"Higher-order overlay layer; table name includes spelling drift."
2026-05-04,brain_chemistry,9,profile,prompt_transformer,Herman-Admin,profile_layer,"user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version","same schema as other profile-layer tables",overlay_layer,aligned,PROFILE_LAYER_DUPLICATION,"Higher-order overlay layer."
2026-05-04,conversation_folders,6,prompt,herman-prompt,,prompt_ui_state,"id; user_id_hash; name","created_at; updated_at",authoritative,aligned,PROMPT_SCHEMA_GOVERNANCE,"Created/managed by prompt app startup logic, not migrations."
2026-05-04,conversation_prompt_scores,1271,analytics,prompt_transformer,Herman-Admin; herman-prompt,derived_scoring,"conversation_id; user_id_hash; scoring_version; last_scored_at","all score and status fields are derived from conversation analysis",derived,live_drift_detected,SCORE_ORPHANS|UNOWNED_LIVE_COLUMNS,"1222 rows reference missing conversations; live table has policy_completion_score and policy_passed not present in current ORM."
2026-05-04,conversation_turns,97,prompt,herman-prompt,prompt_transformer,turn_transcript,"id; conversation_id; user_text; transformed_text; assistant_text; created_at","assistant_images; transformation_applied; summary_type; coaching_text; coaching_requirements; assistant_kind",authoritative_with_derived_columns,aligned,PROMPT_SCHEMA_GOVERNANCE,"Transcript is canonical; several columns are derived transformer output."
2026-05-04,conversations,58,prompt,herman-prompt,Herman-Admin; prompt_transformer,conversation_header,"id; user_id_hash; title; folder_id; created_at; updated_at",transformer_conversation cached JSON,authoritative_with_cached_copy,aligned,PROMPT_SCHEMA_GOVERNANCE,"Canonical conversation header table."
2026-05-04,database_instance_configs,1,operations,Herman-Admin,,ops_config,"id; label; db_kind; host; database_name; connection_secret_reference; secret_source; vault_provider; is_active; managed_via_db_only","connection_string_masked; notes",authoritative,aligned,,Operational config table.
2026-05-04,environment_details,9,profile,prompt_transformer,Herman-Admin,profile_layer,"user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version","same schema as other profile-layer tables",overlay_layer,aligned,PROFILE_LAYER_DUPLICATION,"Higher-order overlay layer."
2026-05-04,feedback,1,prompt,herman-prompt,prompt_transformer,response_feedback,"id; turn_id; conversation_id; user_id_hash; feedback_type; comments","selected_dimensions",authoritative,aligned,FEEDBACK_LAYER_MISSING,"Canonical response feedback table, but not the user_feedback_adjustments layer expected elsewhere."
